    WARNING: ^ (U+005e) is already defined more than once on the keyboard (on VK_6, ShiftState 'Shift' and VK_3, ShiftState 'Ctl+Alt').
    WARNING: @ (U+0040) is already defined more than once on the keyboard (on VK_V, ShiftState 'Ctl+Alt' and VK_2, ShiftState 'Shift').
    WARNING: ; (U+003b) is already defined more than once on the keyboard (on VK_OEM_1, ShiftState 'Ctl+Alt' and VK_OEM_1, ShiftState 'Ctrl').
    WARNING: / (U+002f) is already defined more than once on the keyboard (on VK_OEM_MINUS, ShiftState 'Ctrl' and VK_OEM_MINUS, ShiftState 'Base').
    WARNING: / (U+002f) is already defined more than once on the keyboard (on VK_OEM_MINUS, ShiftState 'Ctl+Alt' and VK_OEM_MINUS, ShiftState 'Base').
    WARNING: . (U+002e) is already defined more than once on the keyboard (on VK_OEM_PERIOD, ShiftState 'Ctrl' and VK_OEM_PERIOD, ShiftState 'Base').
    WARNING: . (U+002e) is already defined more than once on the keyboard (on VK_OEM_PERIOD, ShiftState 'Ctl+Alt' and VK_OEM_PERIOD, ShiftState 'Base').
    WARNING: ` (U+0060) is already defined more than once on the keyboard (on VK_OEM_3, ShiftState 'Base' and VK_7, ShiftState 'Ctl+Alt').
    WARNING: ~ (U+007e) is already defined more than once on the keyboard (on VK_OEM_3, ShiftState 'Shift' and VK_1, ShiftState 'Ctl+Alt').
    WARNING: [ (U+005b) is already defined more than once on the keyboard (on VK_OEM_4, ShiftState 'Ctrl' and VK_F, ShiftState 'Ctl+Alt').
    WARNING: [ (U+005b) is already defined more than once on the keyboard (on VK_OEM_4, ShiftState 'Ctl+Alt' and VK_F, ShiftState 'Ctl+Alt').
    WARNING: { (U+007b) is already defined more than once on the keyboard (on VK_OEM_4, ShiftState 'Shift+Ctl+Alt' and VK_B, ShiftState 'Ctl+Alt').
    WARNING: \ (U+005c) is already defined more than once on the keyboard (on VK_OEM_5, ShiftState 'Ctrl' and VK_Q, ShiftState 'Ctl+Alt').
    WARNING: \ (U+005c) is already defined more than once on the keyboard (on VK_OEM_5, ShiftState 'Ctl+Alt' and VK_Q, ShiftState 'Ctl+Alt').
    WARNING: | (U+007c) is already defined more than once on the keyboard (on VK_OEM_5, ShiftState 'Shift+Ctl+Alt' and VK_W, ShiftState 'Ctl+Alt').
    WARNING: ] (U+005d) is already defined more than once on the keyboard (on VK_OEM_6, ShiftState 'Ctrl' and VK_G, ShiftState 'Ctl+Alt').
    WARNING: ] (U+005d) is already defined more than once on the keyboard (on VK_OEM_6, ShiftState 'Ctl+Alt' and VK_G, ShiftState 'Ctl+Alt').
    WARNING: } (U+007d) is already defined more than once on the keyboard (on VK_OEM_6, ShiftState 'Shift+Ctl+Alt' and VK_N, ShiftState 'Ctl+Alt').
    WARNING: ' (U+0027) is already defined more than once on the keyboard (on VK_OEM_7, ShiftState 'Ctl+Alt' and VK_OEM_7, ShiftState 'Ctrl').
